icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;28;0.5583815868087934;-;-;-;-;-;-;-;0.4306020246907201;0.3995732557628452;2.133478978831621;1.440673082464127;1.05683667646002;1.370689182520971;0.7646429117602079;2.744312412525042;2.785631711631405;15.45560928219735;0.89934729869797;0.7064740567079485;0.4984535093480435;0.04076607687242273
C01;Base of tongue;59;-;-;-;-;-;-;-;-;-;1.997866278814227;2.98687057036427;5.282467969035133;4.22734670584008;6.853445912604857;7.64642911760208;3.659083216700056;2.785631711631405;4.415888366342099;1.895053236542151;1.5259745680226;1.080738484529131;0.1448670989376288
C02;Tongue;74;-;-;-;-;-;-;1.494894933801069;1.457350633704634;0.8612040493814402;3.196586046102762;5.120349549195891;5.282467969035133;6.34102005876012;4.112067547562915;4.587857470561247;5.488624825050083;4.178447567447107;4.415888366342099;2.376846432273206;1.980960327791367;1.454536242108558;0.1621374063463299
C03;Gum;12;-;-;-;-;-;-;-;-;-;0.7991465115256905;-;0.4802243608213758;0.5284183382300099;0.6853445912604857;2.293928735280624;0.914770804175014;1.392815855815703;4.415888366342099;0.3854345565848443;0.2837887383814978;0.192924640249563;0.02393244841815134
C04;Floor of mouth;79;-;0.5936726370344865;-;-;-;-;-;0.4857835445682113;0.8612040493814402;3.995732557628453;5.120349549195891;9.604487216427515;5.2841833823001;8.909479686386316;3.82321455880104;1.829541608350028;4.178447567447107;-;2.537444164183558;2.163901297808205;1.61443110989538;0.1932036568999096
C05;Palate;34;-;-;-;-;-;-;-;-;-;1.598293023051381;1.706783183065298;2.881346164928255;3.69892836761007;2.056033773781457;3.058571647040832;2.744312412525042;2.785631711631405;2.207944183171049;1.092064576990392;0.8680030302653748;0.6197111715914037;0.07497166299166302
C06;Mouth, NOS;25;-;-;-;-;-;-;-;-;-;1.198719767288536;0.8533915915326488;3.36157052574963;3.17051002938006;3.426722956302429;0.7646429117602079;0.914770804175014;-;-;0.8029886595517588;0.6821711498198674;0.5031182427851593;0.06385739139388447
C07;Parotid gland;44;-;-;-;-;-;-;-;0.9715670891364226;-;-;0.8533915915326488;2.401121804106879;2.64209169115005;2.741378365041943;6.117143294081663;9.147708041750139;5.571263423262811;8.831776732684197;1.413260040811096;1.024072996269351;0.6707686427652229;0.07860256116475339
C08;Salivary glands, NOS;6;-;-;-;-;-;0.5170149624130123;-;-;-;-;-;-;1.05683667646002;-;0.7646429117602079;0.914770804175014;1.392815855815703;-;0.1927172782924221;0.1441957431863754;0.1150393096074746;0.01169178921021086
C09;Tonsil;101;-;-;-;-;-;-;0.4982983112670231;-;0.8612040493814402;3.995732557628453;4.693653753429567;11.52538465971302;11.62520344106022;10.28016886890729;6.881786205841872;2.744312412525042;4.178447567447107;2.207944183171049;3.244074184589106;2.712615965343476;1.98743617986142;0.2514903909464627
C10;Oropharynx;61;-;-;-;-;-;-;-;-;-;1.997866278814227;4.693653753429567;5.282467969035133;6.869438396990128;7.538790503865344;2.293928735280624;3.659083216700056;2.785631711631405;2.207944183171049;1.959292329306292;1.622313305743738;1.174231920503928;0.1432779871304857
C11;Nasopharynx;23;-;-;-;-;-;-;0.4982983112670231;0.4857835445682113;0.4306020246907201;0.7991465115256905;1.280087387298973;2.401121804106879;1.05683667646002;1.370689182520971;1.529285823520416;0.914770804175014;2.785631711631405;2.207944183171049;0.7387495667876182;0.6104207036619331;0.4409745115725232;0.04924712594998049
C12;Pyriform sinus;70;-;-;-;-;-;-;-;-;0.4306020246907201;0.7991465115256905;3.840262161896919;4.322019247392382;7.39785673522014;10.28016886890729;9.940357852882704;4.57385402087507;1.392815855815703;2.207944183171049;2.248368246744925;1.821016911622624;1.305547623100889;0.1848809512424165
