icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;11;-;-;-;-;-;-;-;-;-;0.8018024519118979;-;0.8276158869145652;-;3.049214319110443;3.389887964202783;2.028932578570414;2.772540756349118;7.304335122895438;0.626102794695202;0.4707957469030618;0.3111606766305923;0.04033446657677464
C01;Base of tongue;42;-;-;-;-;-;-;-;-;0.8195041999590248;-;7.021595306453626;4.138079434572826;7.472864162011695;8.131238184294514;8.474719910506959;8.115730314281656;5.545081512698236;-;2.39057430701804;1.968061485723444;1.387002015628886;0.1801275811842529
C02;Tongue;76;-;-;-;-;0.8743857440148296;0.8611113503087084;-;-;1.63900839991805;4.00901225955949;1.56035451254525;11.58662241680391;15.87983634427485;17.27888114162584;6.779775928405567;16.23146062856331;11.09016302539647;3.652167561447719;4.32580112698503;3.481861262823128;2.544385295221689;0.3018883384590554
C03;Gum;28;-;-;-;-;-;-;-;-;-;-;2.340531768817875;4.965695321487392;8.406972182263157;2.032809546073628;5.084831946304175;4.057865157140828;2.772540756349118;7.304335122895438;1.5937162046787;1.297910954386985;0.9055772448668392;0.1140890726991417
C04;Floor of mouth;46;-;-;-;-;-;-;-;0.8917504168933199;0.8195041999590248;4.00901225955949;3.120709025090501;8.276158869145652;6.538756141760234;12.19685727644177;8.474719910506959;-;2.772540756349118;-;2.61824805054357;2.212216948278285;1.641110884560609;0.2213919063013603
C05;Palate;36;-;-;-;-;-;0.8611113503087084;-;-;1.63900839991805;-;3.900886281363126;6.620927095316522;7.472864162011695;5.082023865184071;6.779775928405567;2.028932578570414;2.772540756349118;3.652167561447719;2.04906369172975;1.730469223239774;1.266494478279386;0.1616521872865762
C06;Mouth, NOS;26;-;-;-;-;-;-;-;-;0.8195041999590248;1.603604903823796;1.56035451254525;4.138079434572826;6.538756141760234;4.065619092147257;-;6.086797735711242;5.545081512698236;-;1.47987933291593;1.193876559832443;0.8610396525925754;0.09358577259895862
C07;Parotid gland;23;-;-;-;-;-;1.722222700617417;-;-;0.8195041999590248;2.405407355735694;1.56035451254525;1.65523177382913;-;6.098428638220885;5.084831946304175;-;11.09016302539647;-;1.30912402527179;1.06222185442169;0.8155998191711967;0.09668313734368938
C08;Salivary glands, NOS;3;-;-;-;-;-;-;-;-;-;-;0.7801772562726251;0.8276158869145652;0.9341080202514619;-;-;-;-;-;0.170755307644146;0.1509747621665308;0.1094778191002723;0.01270869819371967
C09;Tonsil;81;-;-;-;-;-;-;-;-;-;3.207209807647592;13.26301335663463;18.20754951212043;16.81394436452631;10.16404773036814;5.084831946304175;6.086797735711242;8.317622269047355;3.652167561447719;4.61039330639194;3.886606531076323;2.783778008703172;0.3331468140052252
C10;Oropharynx;61;-;-;-;-;-;-;-;-;2.458512599877074;1.603604903823796;4.68106353763575;9.103774756060217;14.94572832402339;12.19685727644177;10.16966389260835;8.115730314281656;2.772540756349118;-;3.4720245887643;2.888539796143391;2.104079353377166;0.2754160586036614
C11;Nasopharynx;13;0.975971579707599;-;-;-;-;-;-;0.8917504168933199;0.8195041999590248;0.8018024519118979;1.56035451254525;2.482847660743696;0.9341080202514619;2.032809546073628;1.694943982101392;-;-;-;0.739939666457966;0.6910534990314541;0.577479132582072;0.06095187864179064
C12;Pyriform sinus;75;-;-;-;-;-;-;-;-;1.63900839991805;0.8018024519118979;4.68106353763575;11.58662241680391;15.87983634427485;21.3445002337731;11.86460787470974;6.086797735711242;11.09016302539647;-;4.26888269110365;3.430076200044982;2.473106135426217;0.3384132933452855
C13;Hypopharynx;27;-;-;-;-;-;-;-;-;-;0.8018024519118979;4.68106353763575;2.482847660743696;2.802324060754386;3.049214319110443;11.86460787470974;4.057865157140828;5.545081512698236;-;1.53679776879731;1.287402609226185;0.8906408390588321;0.1283268900608925
C14;Lip, oral cavity and pharynx, NOS;10;-;-;-;-;-;-;-;-;-;-;0.7801772562726251;1.65523177382913;1.868216040502924;3.049214319110443;3.389887964202783;-;-;-;0.56918435881382;0.4710023280844789;0.3392209642442824;0.05369921357823992
C15;Oesophagus;256;-;-;-;-;-;-;-;-;-;6.414419615295183;17.16389963799775;33.93225136349717;41.10075289106432;52.85304819791434;40.6786555704334;48.69438188568994;63.76843739602972;65.73901610605894;14.5711195856338;11.34489884185781;7.778025972713499;0.9561150116657702
