icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4.198505332101772;-;-;-;-;0.164141890816097;0.1679402132840709;0.1259551599630531;0.02099032338380713
C01;Base of tongue;4;-;-;-;-;-;-;-;-;-;-;-;-;3.545973547037339;8.397010664203544;-;-;6.907508461697865;-;0.656567563264388;0.5822541885369873;0.4282868041160892;0.0596970952456255
C02;Tongue;10;-;-;-;-;-;-;-;2.082725871620777;2.394177360658877;-;-;6.125199068969742;3.545973547037339;4.198505332101772;10.02506265664161;-;6.907508461697865;5.259559248934939;1.64141890816097;1.448556617839274;1.042752850226112;0.1417576479751936
C03;Gum;4;-;-;-;-;-;-;-;-;-;-;-;-;-;8.397010664203544;-;6.164848036495901;-;5.259559248934939;0.656567563264388;0.5117729797874091;0.33985659653574;0.04197624083085438
C04;Floor of mouth;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.012531328320803;-;-;-;0.164141890816097;0.1503759398496241;0.100250626566416;0.02505951622018276
C05;Palate;6;-;-;-;-;-;-;-;-;-;2.595380223202699;-;-;3.545973547037339;-;15.03759398496241;-;-;5.259559248934939;0.984851344896582;0.8626987050142774;0.6246114312175783;0.1058386900834596
C06;Mouth, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.012531328320803;-;-;-;0.164141890816097;0.1503759398496241;0.100250626566416;0.02505951622018276
C07;Parotid gland;7;-;-;-;-;-;-;-;2.082725871620777;-;2.595380223202699;-;6.125199068969742;-;-;-;-;6.907508461697865;10.51911849786988;1.14899323571268;0.8692456403715053;0.612827463246037;0.05400193952010968
C08;Salivary glands, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C09;Tonsil;4;-;-;-;-;-;-;-;-;-;2.595380223202699;-;3.062599534484871;-;4.198505332101772;-;6.164848036495901;-;-;0.656567563264388;0.6566697617072702;0.465830435099569;0.04927028365633301
