icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;64.0;-;-;-;-;-;-;-;-;0.48568445;0.51502455;0.8493675;1.52622357;2.89961932;3.86360612;8.5462781;5.07498287;6.91078181;6.85573254;1.25212151;1.01615712;0.68596078;0.09338539
C01;Base of tongue;51.0;-;-;-;-;-;-;-;0.25489007;0.48568445;1.54507366;3.11434752;3.66293658;2.89961932;1.28786871;1.89917291;1.90311858;-;4.57048836;0.99778433;0.93501405;0.67386165;0.07571928
C02;Tongue;175.0;-;-;-;-;-;0.30287061;0.27505171;0.7646702;1.9427378;4.63522098;10.19241005;10.68356501;8.28462663;6.8686331;10.44545101;3.80623715;6.91078181;4.57048836;3.42376977;3.10219883;2.26007539;0.27160667
C03;Gum;32.0;-;-;-;-;-;-;-;-;0.48568445;0.51502455;1.41561251;1.83146829;3.72808198;2.14644784;0.47479323;-;-;4.57048836;0.62606076;0.6112413;0.44994692;0.05297153
C04;Floor of mouth;152.0;-;-;-;-;-;-;-;0.25489007;2.18558003;5.40775781;8.49367504;10.68356501;8.28462663;6.8686331;5.69751873;3.17186429;1.97450909;2.28524418;2.9737886;2.75088414;2.02733187;0.23909494
C05;Palate;69.0;-;-;-;-;-;-;-;-;0.72852668;1.54507366;3.68059252;5.49440486;5.38500731;1.28786871;2.37396614;1.26874572;4.93627272;2.28524418;1.34994351;1.23603197;0.89053256;0.10242471
C06;Mouth, NOS;70.0;-;-;-;-;0.30961669;-;-;0.25489007;0.72852668;0.77253683;3.11434752;2.74720243;3.72808198;3.00502698;4.74793228;5.07498287;5.92352726;4.57048836;1.36950791;1.18290935;0.83318466;0.09699374
C07;Parotid gland;48.0;-;-;0.30983638;-;0.30961669;0.30287061;0.27505171;0.50978013;0.72852668;-;-;1.83146829;2.07115666;1.28786871;5.2227255;3.80623715;1.97450909;13.71146507;0.93909114;0.82512468;0.58337358;0.06422387
C08;Salivary glands, NOS;26.0;-;-;-;-;0.30961669;-;-;-;0.72852668;0.51502455;0.2831225;0.61048943;0.82846266;1.28786871;1.89917291;0.63437286;4.93627272;4.57048836;0.50867437;0.42283783;0.30159367;0.0323062
C09;Tonsil;161.0;-;-;-;-;-;-;0.27505171;-;1.69989558;4.12019643;10.19241005;10.98880973;9.94155196;5.58076439;6.64710519;5.70935573;2.96176363;4.57048836;3.14986818;2.90868831;2.10766345;0.24692357
C10;Oropharynx;99.0;-;-;-;-;-;-;-;0.50978013;0.48568445;4.37770871;5.66245003;7.93636258;4.14231332;3.86360612;3.79834582;2.53749144;-;2.28524418;1.93687547;1.79788794;1.31733617;0.15376292
C11;Nasopharynx;37.0;-;-;-;-;0.61923339;0.90861182;0.27505171;0.50978013;0.48568445;1.28756138;0.8493675;1.22097886;2.48538799;1.28786871;1.42437968;-;1.97450909;2.28524418;0.72388275;0.67984213;0.55485775;0.05675342
C12;Pyriform sinus;122.0;-;-;-;-;-;-;-;-;-;3.60517188;5.37932753;7.02062844;8.28462663;8.58579137;5.2227255;7.61247431;2.96176363;-;2.38685664;2.14636454;1.5504487;0.19031004
C13;Hypopharynx;46.0;-;-;-;-;-;-;-;-;0.24284223;0.77253683;1.69873501;4.88391544;4.14231332;2.14644784;0.94958646;1.90311858;-;-;0.89996234;0.84254646;0.60932499;0.07415438
C14;Lip, oral cavity and pharynx, NOS;48.0;-;-;-;-;-;-;-;-;0.24284223;1.80258594;3.68059252;3.05244715;1.24269399;3.00502698;1.89917291;1.26874572;-;2.28524418;0.93909114;0.8715066;0.63080891;0.07459897
C15;Oesophagus;672.0;-;-;-;-;-;0.30287061;-;-;3.39979116;11.58805246;18.9692076;34.18740805;35.62389452;45.50469428;48.42890921;52.01857444;36.52841812;45.70488357;13.1472759;11.36639329;7.92948401;0.98513953
C16;Stomach;872.0;-;-;-;-;-;0.90861182;3.02556881;3.56846092;4.85684451;7.21034375;17.55359509;16.78845931;35.62389452;54.09048566;64.57187895;102.1340303;103.6617271;148.54087159;17.06015563;14.05262442;9.36304138;1.03559116
C17;Small intestine;100.0;-;-;-;-;-;0.30287061;-;0.50978013;0.48568445;1.80258594;2.54810251;3.96818129;4.55654465;6.8686331;7.59669164;6.97810145;9.87254544;4.57048836;1.95643987;1.6479882;1.16049585;0.1430929
C18;Colon;2707.0;-;-;1.2393455;1.58129268;1.23846678;0.90861182;2.20041368;5.60758145;9.47084679;13.90566295;38.5046602;66.23810309;104.38629557;158.40785085;246.4176851;333.68012383;371.20770848;395.34724285;52.96082718;42.48757927;27.89706819;3.19827202
C19;Rectosigmoid junction;210.0;-;-;-;-;-;-;0.27505171;0.7646702;0.24284223;1.54507366;4.52996002;5.79964958;9.94155196;13.7372662;19.46652233;20.29993149;19.74509088;34.27866268;4.10852372;3.4398109;2.30037085;0.28111706
C20;Rectum;1249.0;-;-;-;-;-;0.30287061;0.27505171;2.03912053;5.09968673;10.55800335;18.9692076;39.98705762;56.3354611;89.72151986;110.15202879;120.53084321;147.10092703;143.97038324;24.43593393;20.03782397;13.45925367;1.65337917
C21;Anus and anal canal;52.0;-;-;-;-;-;-;-;0.50978013;0.24284223;1.03004911;1.13249001;3.05244715;2.89961932;2.14644784;2.84875937;3.17186429;4.93627272;6.85573254;1.01734873;0.88486713;0.61371474;0.06928816
C22;Liver and intrahepatic bile ducts;302.0;-;-;-;-;0.30961669;0.90861182;0.27505171;0.7646702;0.72852668;3.86268415;4.81308252;10.68356501;19.05464125;15.88371404;33.71031916;20.93430435;31.5921454;11.42622089;5.9084484;4.90563091;3.4406493;0.45393898
C23;Gallbladder;30.0;-;-;-;-;-;-;-;-;-;0.25751228;0.566245;-;1.65692533;3.00502698;2.37396614;2.53749144;5.92352726;2.28524418;0.58693196;0.46476688;0.3140889;0.03929066
C24;Biliary tract, NOS;105.0;-;-;-;-;-;-;-;0.50978013;0.48568445;1.03004911;1.13249001;3.35769186;3.72808198;7.29792267;6.17231196;17.12806719;12.83430907;6.85573254;2.05426186;1.6254739;1.07370107;0.11849979
C25;Pancreas;541.0;-;-;-;-;-;-;0.27505171;0.7646702;3.64263338;6.43780692;8.49367504;19.53566174;26.51080522;28.7624011;55.55080762;60.89979446;44.42645447;31.9934185;10.58433968;8.66986347;5.89873766;0.74706307
C26;Other ill-defined digestive organs;10.0;-;-;-;-;0.30961669;-;-;-;0.24284223;-;0.566245;-;0.41423133;-;0.47479323;1.90311858;-;2.28524418;0.19564399;0.17417945;0.12417464;0.01003814
C30;Nasal cavity and middle ear;20.0;-;-;-;-;-;-;-;-;-;1.03004911;0.8493675;0.61048943;0.82846266;0.85857914;1.42437968;1.26874572;1.97450909;-;0.39128797;0.33180622;0.23863438;0.02800272
C31;Accessory sinuses;71.0;-;-;-;-;-;0.30287061;-;0.25489007;0.24284223;0.25751228;1.69873501;6.71538372;2.89961932;3.43431655;4.74793228;3.17186429;6.91078181;4.57048836;1.38907231;1.19894412;0.82619433;0.10271772
C32;Larynx;564.0;-;-;-;-;-;-;-;0.50978013;2.18558003;9.78546652;16.42110508;28.38775847;36.03812585;35.20174463;37.50866498;41.86860869;36.52841812;29.70817432;11.03432085;9.56137486;6.70303492;0.82675456
C33;Trachea;11.0;-;-;-;-;-;-;-;-;-;0.25751228;-;0.30524471;1.24269399;0.42928957;0.94958646;-;2.96176363;-;0.21520839;0.17375205;0.12404752;0.01592037
C34;Bronchus and lung;5392.0;-;-;-;0.31625854;0.30961669;0.30287061;2.47546539;4.84291125;15.05621798;40.68693975;96.26165049;168.80032722;303.63156608;361.46181684;501.85644152;572.20431881;535.09196276;393.06199867;105.49123759;86.767025;58.8153089;7.2071043
