icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;8;-;-;-;-;-;-;-;-;-;-;-;0.4362944638595481;0.4881477720935682;0.54703996673997;-;-;1.707708596605076;2.399750425955701;0.242813037603241;0.1135412453314579;0.07392618355312763;0.007357140362618253
C01;Base of tongue;27;-;-;-;-;-;-;-;-;-;0.4451467871530637;1.248891608697281;0.8725889277190961;4.881477720935682;3.28223980043982;1.926906031215877;0.7600979006095985;0.8538542983025378;-;0.819494001910939;0.6278491833687405;0.4681916187453598;0.06326623285468624
C02;Tongue;46;-;-;-;-;-;-;0.5009769049646811;-;0.4926957849875594;0.4451467871530637;1.665188811596375;3.926650174735932;2.928886632561409;4.37631973391976;1.926906031215877;1.520195801219197;5.123125789815226;3.999584043259501;1.39617496621864;0.9538149069697418;0.6744533013175066;0.08128080355005451
C03;Gum;27;-;-;-;-;-;-;-;-;-;-;0.4162972028990937;0.4362944638595481;0.4881477720935682;2.73519983369985;3.853812062431755;2.280293701828795;4.269271491512688;3.999584043259501;0.819494001910939;0.4330426452444323;0.2810720005348588;0.03964089759409539
C04;Floor of mouth;29;-;-;-;-;-;-;-;-;-;0.4451467871530637;0.8325944057981874;1.308883391578644;1.952591088374273;3.82927976717979;2.56920804162117;1.520195801219197;2.561562894907613;2.399750425955701;0.880197261311749;0.5758689225888637;0.4050685851815355;0.05467356596454698
C05;Palate;18;-;-;-;-;0.5375650453704898;0.5038392551240451;0.5009769049646811;-;-;-;1.248891608697281;1.308883391578644;0.4881477720935682;1.09407993347994;-;0.7600979006095985;0.8538542983025378;3.199667234607601;0.546329334607292;0.3978298597708428;0.3083877699942411;0.02840788375290115
C06;Mouth, NOS;18;-;-;-;-;-;-;-;-;-;-;-;0.8725889277190961;1.464443316280704;-;1.284604020810585;2.280293701828795;2.561562894907613;3.999584043259501;0.546329334607292;0.2753329655197456;0.1747820418853273;0.01810654189186023
C07;Parotid gland;22;-;-;-;-;-;-;-;-;0.9853915699751189;0.4451467871530637;0.4162972028990937;0.4362944638595481;1.464443316280704;-;1.926906031215877;4.560587403657591;1.707708596605076;2.399750425955701;0.667735853408913;0.4187718420827534;0.2873579625519531;0.02836837227303546
C08;Salivary glands, NOS;7;-;-;-;-;-;0.5038392551240451;0.5009769049646811;-;0.4926957849875594;-;-;0.4362944638595481;-;0.54703996673997;-;0.7600979006095985;-;0.7999168086519002;0.212461407902836;0.1760862287552226;0.1453910424129946;0.01240346258534197
C09;Tonsil;37;-;-;-;-;-;-;-;-;0.4926957849875594;0.4451467871530637;1.248891608697281;1.745177855438192;3.417034404654977;4.37631973391976;3.211510052026463;3.800489503047992;0.8538542983025378;1.5998336173038;1.12301029891499;0.8005785443523011;0.5709967528336619;0.07465599966529624
