icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.699248120300752;-;-;5.378368203087184;0.322295257908723;0.1947611256398944;0.1208768034214509;0.02349348045107558
C01;Base of tongue;3;-;-;-;-;-;-;-;-;-;-;-;5.958232788155033;-;4.116412135182975;-;-;-;-;0.483442886863084;0.522150452696621;0.3618216755816906;0.05036053943796581
C02;Tongue;10;-;-;-;-;-;-;-;-;-;2.500375056258439;2.747403703500192;-;3.425948131145295;-;4.699248120300752;18.45699520118125;14.34617315831002;5.378368203087184;1.61147628954361;1.246004680986988;0.8016082350211413;0.06684252548005976
C03;Gum;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.152331733727083;7.17308657915501;-;0.322295257908723;0.1947775004660917;0.09738875023304587;-
C04;Floor of mouth;4;-;-;-;-;-;-;-;-;-;-;2.747403703500192;5.958232788155033;-;-;-;6.152331733727083;-;-;0.644590515817446;0.6728588612088571;0.4372228140384818;0.04351871031933463
C05;Palate;3;-;-;-;-;-;-;1.894441708028644;-;-;-;-;-;-;-;4.699248120300752;-;-;5.378368203087184;0.483442886863084;0.3273720452018995;0.2345433059031696;0.03296301514563726
C06;Mouth, NOS;4;-;-;-;-;-;-;-;-;4.562043795620438;-;2.747403703500192;-;3.425948131145295;-;-;-;-;-;0.644590515817446;0.6829587314957087;0.5481307381580477;0.05366257463864654
C07;Parotid gland;5;-;-;-;-;-;-;-;-;-;-;2.747403703500192;-;3.425948131145295;-;4.699248120300752;12.30466346745417;-;-;0.805738144771807;0.7506863787603841;0.4914397075013781;0.05434822577332632
C08;Salivary glands, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C09;Tonsil;5;-;-;-;-;-;-;-;-;-;-;2.747403703500192;-;-;12.34923640554892;4.699248120300752;-;-;-;0.805738144771807;0.827265159075993;0.6018322397474923;0.0989304726554785
C10;Oropharynx;3;-;-;-;-;-;-;-;-;-;2.500375056258439;-;-;-;-;9.398496240601505;-;-;-;0.483442886863084;0.4569811411561359;0.3379924281875364;0.05947666210125435
C11;Nasopharynx;1;-;-;-;-;-;-;-;-;-;-;-;-;3.425948131145295;-;-;-;-;-;0.161147628954361;0.1712974065572647;0.1370379252458118;0.01712827359942048
C12;Pyriform sinus;1;-;-;-;-;-;-;-;-;-;-;-;-;3.425948131145295;-;-;-;-;-;0.161147628954361;0.1712974065572647;0.1370379252458118;0.01712827359942048
