icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;9;-;-;-;-;-;-;-;-;-;-;-;2.396836176247354;0.871064964025017;2.043610651298715;-;2.060623544684621;5.56405619696759;-;0.504337300786766;0.3659608776914089;0.2404508815815405;0.02655403275033663
C01;Base of tongue;53;-;-;-;-;-;-;-;-;1.739977728285078;3.24962832376047;4.838670655881807;4.793672352494707;9.581714604275188;8.174442605194859;11.57219894924433;6.181870634053864;5.56405619696759;3.342245989304813;2.9699863268554;2.341529548147282;1.699352848600252;0.2195102491984957
C02;Tongue;74;-;-;-;-;-;-;-;1.754416744153406;-;2.437221242820352;6.451560874509076;6.391563136659609;11.32384453232522;20.43610651298714;12.72941884416877;14.42436481279235;5.56405619696759;-;4.14677336202452;3.238164619189708;2.322428131089024;0.3071479918861253
C03;Gum;11;-;-;-;-;-;-;-;-;-;-;-;-;2.613194892075051;2.043610651298715;1.157219894924433;2.060623544684621;11.12811239393518;-;0.616412256517159;0.3996143623364783;0.2652273105369743;0.0290659022394224
C04;Floor of mouth;50;-;-;-;-;-;-;-;-;-;4.874442485640705;2.419335327940904;10.38629009707186;10.4527795683002;11.23985858214293;2.314439789848867;2.060623544684621;-;6.684491978609626;2.80187389325981;2.283465758851007;1.68450935075153;0.2082186528363783
C05;Palate;27;-;-;-;-;-;-;-;-;-;-;3.225780437254538;2.396836176247354;4.355324820125085;9.196247930844216;4.628879579697734;2.060623544684621;2.782028098483795;-;1.5130119023603;1.163130098692144;0.8343568671761707;0.1189445495479391
C06;Mouth, NOS;24;-;-;-;-;0.8868078464758256;-;-;-;-;-;1.612890218627269;4.793672352494707;2.613194892075051;3.065415976948072;5.786099474622167;2.060623544684621;5.56405619696759;3.342245989304813;1.34489946876471;1.019734066383656;0.7206860436113136;0.09374643435443586
C07;Parotid gland;24;-;-;-;-;-;-;-;-;0.869988864142539;-;2.419335327940904;0.7989453920824511;2.613194892075051;2.043610651298715;3.471659684773301;2.060623544684621;11.12811239393518;20.05347593582888;1.34489946876471;0.9477717323610213;0.6169073999419916;0.0610650217834019
C08;Salivary glands, NOS;6;-;-;-;-;-;-;-;-;0.869988864142539;-;0.8064451093136346;-;-;2.043610651298715;-;2.060623544684621;-;3.342245989304813;0.336224867191177;0.2737297349806213;0.1911473722465658;0.01859849338952113
C09;Tonsil;78;-;-;-;-;-;-;-;0.877208372076703;0.869988864142539;4.062035404700588;8.87089620244998;12.78312627331922;15.67916935245031;15.32707988474036;4.628879579697734;8.242494178738486;5.56405619696759;3.342245989304813;4.37092327348531;3.584417551275595;2.609937034463382;0.314994766874066
